net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
9.189865685,1613.20,0.62,420.610,-0.53,"1,114.11",-0.88
-2.884720223,1606.28,-0.43,413.160,-1.77,"1,120.70",0.59
6.885946255,1614.96,0.54,412.040,-0.27,"1,147.21",2.37
-2.779044666,1614.08,-0.05,415.630,0.87,"1,136.87",-0.90
3.313241881,1615.41,0.08,414.050,-0.38,"1,137.78",0.08
-1.976294298,#N/A,#N/A,416.220,0.52,"1,110.93",-2.36
1.930618922,1631.89,#N/A,410.240,-1.44,"1,117.14",0.56
-1.977952417,1640.46,0.53,406.560,-0.90,"1,117.92",0.07
-4.035729646,1652.32,0.72,409.580,0.74,"1,124.42",0.58
6.21112652,1652.62,0.02,405.010,-1.12,"1,130.47",0.54
1.667929453,1675.02,1.36,402.550,-0.61,"1,135.42",0.44
-1.947280477,1680.19,0.31,406.610,1.01,"1,145.57",0.89
1.822605797,1682.50,0.14,407.320,0.17,"1,125.83",-1.72
-3.900808721,1676.26,-0.37,409.560,0.55,"1,114.25",-1.03
1.289376529,1680.91,0.28,410.020,0.11,"1,120.21",0.53
-2.003738433,1689.37,0.50,405.300,-1.15,"1,106.26",-1.25
2.525433205,1692.09,0.16,403.060,-0.55,"1,121.32",1.36
-3.988686496,1695.53,0.20,395.870,-1.78,"1,129.73",0.75
6.741445485,1692.39,-0.19,396.060,0.05,"1,132.51",0.25
-3.892014162,1685.94,-0.38,398.570,0.63,"1,123.95",-0.76
-4.049626187,1690.25,0.26,400.540,0.49,"1,121.29",-0.24
-2.110271188,1691.65,0.08,398.920,-0.40,"1,123.37",0.19
2.064320863,1685.33,-0.37,396.340,-0.65,"1,117.70",-0.50
-2.11216185,1685.96,0.04,397.890,0.39,"1,145.88",2.52
1.563577349,1685.73,-0.01,401.320,0.86,"1,146.03",0.01
2.726465095,1706.87,1.25,402.180,0.21,"1,128.16",-1.56
1.037307273,1709.67,0.16,402.820,0.16,"1,098.03",-2.67
-2.046898746,1707.14,-0.15,398.070,-1.18,"1,116.29",1.66
-2.089672221,1697.37,-0.57,396.800,-0.32,"1,116.19",-0.01
1.798104193,1690.91,-0.38,397.190,0.10,"1,088.73",-2.46
-2.096572933,1697.48,0.39,396.900,-0.07,"1,040.50",-4.43
3.266752522,1691.42,-0.36,396.940,0.01,"1,050.85",0.99
-4.147453794,1689.47,-0.12,396.770,-0.04,"1,049.24",-0.15
-2.163455202,1694.16,0.28,399.200,0.61,"1,052.25",0.29
-2.211295591,1685.39,-0.52,403.030,0.96,"1,026.55",-2.44
1.749392623,1661.32,-1.43,405.810,0.69,"1,000.55",-2.53
1.799375969,1655.83,-0.33,405.820,0.00,"1,006.20",0.56
-4.366275773,1646.06,-0.59,404.820,-0.25,993.43,-1.27
-2.282811743,1652.35,0.38,407.220,0.59,"1,018.92",2.57
-2.336141454,1642.80,-0.58,407.280,0.01,"1,038.78",1.95
-2.392022483,1656.96,0.86,410.800,0.86,"1,056.66",1.72
3.14499108,1663.50,0.39,409.340,-0.36,"1,051.59",-0.48
-2.37591993,1656.78,-0.40,410.940,0.39,"1,043.05",-0.81
-2.433743733,1630.48,-1.59,412.150,0.29,"1,044.77",0.16
-2.49445231,1634.96,0.27,415.070,0.71,"1,037.28",-0.72
-2.558267061,1638.17,0.20,415.790,0.17,"1,055.01",1.71
3.519694532,1632.97,-0.32,417.340,0.37,"1,065.71",1.01
-2.536167298,#N/A,#N/A,413.800,-0.85,"1,061.50",-0.40
5.951109974,1639.77,#N/A,414.430,0.15,"1,075.45",1.31
-3.43840427,1653.08,0.81,417.980,0.86,"1,095.70",1.88
2.435569491,1655.08,0.12,420.170,0.52,"1,090.07",-0.51
-2.48298263,1655.17,0.01,420.230,0.01,"1,096.53",0.59
-2.546204444,1671.71,1.00,420.940,0.17,"1,076.84",-1.80
4.82926713,1683.99,0.73,421.070,0.03,"1,076.09",-0.07
8.574616432,1689.13,0.31,425.150,0.97,"1,080.31",0.39
-4.591067265,1683.42,-0.34,425.550,0.09,"1,074.67",-0.52
4.607874855,1687.99,0.27,426.780,0.29,"1,054.09",-1.92
-2.300012747,1697.60,0.57,428.790,0.47,"1,028.87",-2.39
1.906037188,1704.76,0.42,427.370,-0.33,"1,027.26",-0.16
2.742020096,1725.52,1.22,426.510,-0.20,"1,040.86",1.32
3.102893062,1722.34,-0.18,429.050,0.60,"1,015.08",-2.48
