net balance,SP,BofA,MCSI
0.00,0.01,0.11,-0.56
1.05,0.25,-0.95,1.81
0.00,#N/A,0.05,-1.38
-1.80,#N/A,0.97,1.58
-0.87,-0.27,-0.64,-1.31
0.00,-0.32,-0.85,-0.66
-1.85,-0.13,0.20,0.78
0.00,-0.43,0.06,-0.48
1.66,1.12,-0.98,0.90
-0.93,0.18,-1.20,0.13
-0.77,-0.32,-0.07,2.46
-1.89,-1.13,-0.32,0.37
0.00,-0.38,0.05,0.44
1.39,-0.01,-0.20,-2.43
0.00,0.63,-2.10,-0.90
0.00,-0.31,-5.37,-1.65
0.00,1.66,0.06,1.96
1.24,-0.06,-0.07,-1.40
5.02,0.48,-0.41,2.59
0.89,0.53,0.64,0.51
2.18,0.29,0.31,-0.15
-1.50,#N/A,2.24,2.82
0.81,#N/A,0.65,0.89
1.29,-0.03,1.47,1.75
-3.44,-0.02,0.25,-2.22
1.36,0.40,2.29,-1.16
0.79,#N/A,-0.03,-3.62
1.92,#N/A,0.05,6.74
1.23,-0.03,0.17,3.19
0.00,-0.25,0.38,2.05
0.64,0.61,-0.31,-2.69
-1.68,-0.02,0.43,-4.07
0.52,0.03,0.04,0.55
-0.96,0.23,0.00,-3.66
0.22,-1.26,-0.15,-0.81
0.91,1.08,0.43,-2.42
-1.13,0.52,-0.65,1.47
-1.27,-0.13,-1.01,-0.03
0.60,-0.39,-0.11,-1.64
-0.89,#N/A,0.07,-4.14
-3.69,#N/A,0.63,-0.66
5.53,0.06,-0.32,-0.11
0.00,-0.89,#N/A,-0.98
-1.14,-2.09,#N/A,1.11
1.59,-0.49,0.42,-6.12
-2.15,0.61,0.07,0.45
3.73,-1.02,-0.35,-0.52
3.47,1.13,-0.30,2.66
3.28,-0.65,0.74,5.25
2.70,-2.28,-0.03,2.00
0.00,0.76,-0.46,-2.35
-1.90,-0.20,0.31,-1.72
-0.56,1.24,-0.19,1.93
0.61,1.33,0.34,-0.31
2.88,0.16,-0.41,0.71
-5.11,1.11,-0.06,3.68
2.83,-0.03,0.05,1.62
0.54,0.58,-0.06,-2.43
-0.37,0.48,0.04,-1.54
-3.91,#N/A,0.15,-3.65
4.25,#N/A,-0.05,-0.63
3.12,-0.65,-0.94,0.96
-1.45,0.60,0.09,-1.11
1.29,-0.19,0.70,1.60
1.30,0.62,0.35,4.26
1.00,-0.13,0.49,-3.39
0.67,0.00,0.05,1.85
5.10,0.49,-0.17,4.77
2.45,0.28,-0.53,-2.85
-1.04,-0.74,0.14,4.64
0.00,1.53,0.41,-5.85
2.74,-0.01,-0.67,-5.78
0.00,0.17,-0.22,-1.45
-1.68,0.05,0.04,-7.60
-1.36,-0.05,-0.32,1.75
3.58,-0.51,-0.88,0.93
-2.06,0.03,0.25,7.71
0.65,-1.17,2.02,1.92
0.59,-0.28,0.01,-0.77
-0.51,0.96,-1.53,-0.83
1.26,0.72,0.55,-5.91
-2.89,-0.61,0.45,-5.15
2.55,0.60,-0.85,-8.31
0.22,-0.29,-0.93,4.38
0.92,-0.49,0.03,4.16
2.14,0.44,0.13,-1.58
1.09,-0.70,-0.23,11.91
-4.42,-0.19,0.48,-5.06
-0.01,0.46,0.44,23.37
-1.49,0.79,0.63,-7.71
-2.66,0.70,0.42,11.63
1.40,0.29,0.12,7.15
-2.51,-0.11,-1.06,-3.88
-2.31,-1.25,0.81,8.52
1.04,-1.08,0.65,1.67
-3.96,0.38,0.24,2.41
1.43,1.09,-0.11,-3.68
-2.68,-2.09,0.62,0.42
2.72,-0.95,0.34,-3.72
-1.40,0.82,0.07,2.51
2.08,0.68,-0.08,5.77
-1.13,1.05,-0.18,1.07
-2.03,0.14,0.44,3.05
1.11,#N/A,0.01,1.40
4.91,#N/A,-0.08,-0.37
1.97,0.41,0.37,-1.39
1.28,-0.22,0.97,1.54
-2.30,0.17,-0.73,-0.03
1.51,-0.81,0.69,-1.14
-3.19,0.32,-0.14,-0.58
-1.65,0.48,-0.60,-0.35
2.77,0.30,-0.78,0.01
-4.05,-0.01,0.20,-1.13
-2.22,-0.13,-0.46,0.12
