good_date,net balance,SP,BofA,MCSI
2009-10-23,-0.89,#N/A,0.07,-4.14
2009-10-24,-3.69,#N/A,0.63,-0.66
2009-10-25,5.53,0.06,-0.32,-0.11
2009-10-26,0,-0.89,#N/A,-0.98
2009-10-27,-1.14,-2.09,#N/A,1.11
2009-10-28,1.59,-0.49,0.42,-6.12
2009-10-29,-2.15,0.61,0.07,0.45
2009-10-30,3.73,-1.02,-0.35,-0.52
2009-10-31,3.47,1.13,-0.3,2.66
2009-11-01,3.28,-0.65,0.74,5.25
2009-11-02,2.7,-2.28,-0.03,2
2009-11-03,0,0.76,-0.46,-2.35
2009-11-04,-1.9,-0.2,0.31,-1.72
2009-11-05,-0.56,1.24,-0.19,1.93
2009-11-06,0.61,1.33,0.34,-0.31
2009-11-07,2.88,0.16,-0.41,0.71
2009-11-08,-5.11,1.11,-0.06,3.68
2009-11-09,2.83,-0.03,0.05,1.62
2009-11-10,0.54,0.58,-0.06,-2.43
2009-11-11,-0.37,0.48,0.04,-1.54
2009-11-12,-3.91,#N/A,0.15,-3.65
2009-11-13,4.25,#N/A,-0.05,-0.63
2009-11-14,3.12,-0.65,-0.94,0.96
2009-11-15,-1.45,0.6,0.09,-1.11
2009-11-16,1.29,-0.19,0.7,1.6
2009-11-17,1.3,0.62,0.35,4.26
2009-11-18,1,-0.13,0.49,-3.39
2009-11-19,0.67,0,0.05,1.85
2009-11-20,5.1,0.49,-0.17,4.77
2009-11-21,2.45,0.28,-0.53,-2.85
2009-11-22,-1.04,-0.74,0.14,4.64
2009-11-23,0,1.53,0.41,-5.85
2009-11-24,2.74,-0.01,-0.67,-5.78
2009-11-25,0,0.17,-0.22,-1.45
2009-11-26,-1.68,0.05,0.04,-7.6
2009-11-27,-1.36,-0.05,-0.32,1.75
2009-11-28,3.58,-0.51,-0.88,0.93
2009-11-29,-2.06,0.03,0.25,7.71
2009-11-30,0.65,-1.17,2.02,1.92
2009-12-01,0.59,-0.28,0.01,-0.77
2009-12-02,-0.51,0.96,-1.53,-0.83
2009-12-03,1.26,0.72,0.55,-5.91
2009-12-04,-2.89,-0.61,0.45,-5.15
2009-12-05,2.55,0.6,-0.85,-8.31
2009-12-06,0.22,-0.29,-0.93,4.38
2009-12-07,0.92,-0.49,0.03,4.16
2009-12-08,2.14,0.44,0.13,-1.58
2009-12-09,1.09,-0.7,-0.23,11.91
2009-12-10,-4.42,-0.19,0.48,-5.06
2009-12-11,-0.01,0.46,0.44,23.37
2009-12-12,-1.49,0.79,0.63,-7.71
2009-12-13,-2.66,0.7,0.42,11.63
2009-12-14,1.4,0.29,0.12,7.15
2009-12-15,-2.51,-0.11,-1.06,-3.88
2009-12-16,-2.31,-1.25,0.81,8.52
2009-12-17,1.04,-1.08,0.65,1.67
2009-12-18,-3.96,0.38,0.24,2.41
2009-12-19,1.43,1.09,-0.11,-3.68
2009-12-20,-2.68,-2.09,0.62,0.42
2009-12-21,2.72,-0.95,0.34,-3.72
2009-12-22,-1.4,0.82,0.07,2.51
2009-12-23,2.08,0.68,-0.08,5.77
2009-12-26,-1.13,1.05,-0.18,1.07
2009-12-27,-2.03,0.14,0.44,3.05
2009-12-28,1.11,#N/A,0.01,1.4
2009-12-29,4.91,#N/A,-0.08,-0.37
2009-12-30,1.97,0.41,0.37,-1.39
2009-12-31,1.28,-0.22,0.97,1.54
2010-01-01,-2.3,0.17,-0.73,-0.03
2010-01-02,1.51,-0.81,0.69,-1.14
2010-01-03,-3.19,0.32,-0.14,-0.58
2010-01-04,-1.65,0.48,-0.6,-0.35
2010-01-05,2.77,0.3,-0.78,0.01
2010-01-06,-4.05,-0.01,0.2,-1.13
2010-01-07,-2.22,-0.13,-0.46,0.12
2010-01-08,-3.23,0.19,0.54,-0.44
2010-01-09,3.95,-0.9,0.76,0.05
2010-01-10,3.18,0.56,-0.38,-1.03
2010-01-11,1.63,-0.14,-0.86,-0.28
2010-01-12,4.51,0.15,0.23,1.2
2010-01-13,-0.68,0.97,-0.25,0.06
2010-01-14,3.57,0.04,0.19,0.17
2010-01-15,-2.75,-0.47,0.31,-0.33
2010-01-16,-0.15,-0.94,0.39,0.55
2010-01-17,0.89,0.37,1.14,0.34
2010-01-18,-0.42,0.38,-0.75,-0.8
2010-01-19,-2.84,-0.65,-0.12,0.75
2010-01-20,-0.98,0.81,-0.24,-0.95
2010-01-21,-0.35,0.24,0.13,-0.09
2010-01-22,-0.15,0.42,-0.68,-1.02
2010-01-23,-3.57,#N/A,0.67,-0.87
2010-01-24,-3.72,#N/A,0.39,0.39
2010-01-25,-3.08,-0.11,-0.1,-1.07
2010-01-26,0,0.54,0.73,-0.69
2010-01-27,-2.61,0.18,0.19,0.16
